LIST AKL PRODUCT ;;;;AKL EXPIRED;;;;
;;;;;;;;
Kode;Nama product;Kelompok;AKL NO;Expired AKL;Lampiran;Category;Vendor;Keterangan
PMS.SMSH5050;Steripack SMMS NonWoven Wrap 60g 50x50 400s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSH6060;Steripack SMMS NonWoven Wrap 60g 60x60 200s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSH7575;Steripack SMMS NonWoven Wrap 60g 75x75 125s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSH9090;Steripack SMMS NonWoven Wrap 60g 90x90 100s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSL100100;Steripack SMMS NonWoven Wrap 45g 100x100 100s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSL120120;Steripack SMMS NonWoven Wrap 45g 120x120 50s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSL3030;Steripack SMMS NonWoven Wrap 45g 30x30 800s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSL4040;Steripack SMMS NonWoven Wrap 45g 40x40 800s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSL5050;Steripack SMMS NonWoven Wrap 45g 50x50 400s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSL6060;Steripack SMMS NonWoven Wrap 45g 60x60 200s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSL7575;Steripack SMMS NonWoven Wrap 45g 75x75 125s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SMSL9090;Steripack SMMS NonWoven Wrap 45g 90x90 100s;Non Elektromedik;AKL 20903813205;22/08/21;v;Consumable;PMS;
PMS.SS101;PMS Sealing Device;;-;;;Unit;PMS;
PMS.SS201;PMS ROTARY SEALER WITH PRINTER;;-;;;Unit;PMS;
PMS.SWD01;Neuster Plasma Sterilization Device - Double Door;;AKL 20903711699;31/12/23;;Unit;PMS;
PMS.SWPI1;H2O2 Plasma Indicator Strip 250s;;AKL 20903711699;31/12/23;;;PMS;
PMS.SWPM1;PM1 Service Kit;;FR.03.02/IA/13984/2022;31/12/23;;Aksesoris;PMS;
PMS.SWPM2;PM2 Service Kit;;FR.03.02/IA/13984/2022;31/12/23;;Aksesoris;PMS;
PMS.SWS01;Neuster Plasma Sterilization Device - Single Door;Non Elektromedik;AKL 20903711699;31/12/23;v;Unit;PMS;
PMS.SWVA1;Neuster SW Validation Kit;;AKL 20903711699;31/12/23;;Aksesoris;PMS;
PMS.TM100.030;Crimp Wire Basket 1/1 540x255x30 mm;;-;;;;PMS;
PMS.TM100.050;Crimp Wire Basket 1/1 540x255x50 mm;;-;;;;PMS;
PMS.TM100.070;Crimp Wire Basket 1/1 540x255x70 mm;;-;;;;PMS;
PMS.TM100.100;Crimp Wire Basket 1/1 540x255x100 mm;;-;;;;PMS;
PMS.TM101.030;Lid For Baskets 510x240 mm;;-;;;;PMS;
PMS.TM105.030;Crimp Wire Basket 1/1 485x255x30 mm;;-;;;;PMS;
PMS.TM105.050;Crimp Wire Basket 1/1 485x255x50 mm;;-;;;;PMS;
PMS.TM105.070;Crimp Wire Basket 1/1 485x255x70 mm;;-;;;;PMS;
PMS.TM105.100;Crimp Wire Basket 1/1 485x255x100 mm;;-;;;;PMS;
PMS.TM106.030;Lid For Baskets 455x240 mm;;-;;;;PMS;
PMS.TM140.030;Crimp Wire Basket 3/4 405x255x30 mm;;-;;;;PMS;
PMS.TM140.050;Crimp Wire Basket 3/4 405x255x50 mm;;-;;;;PMS;
PMS.TM140.070;Crimp Wire Basket 3/4 405x255x70 mm;;-;;;;PMS;
PMS.TM140.100;Crimp Wire Basket 3/4 405x255x100 mm;;-;;;;PMS;
PMS.TM141.030;Lid For Baskets 375x240 mm;;-;;;;PMS;
PMS.TM160.030;Crimp Wire Basket 1/2 255x245x30 mm;;-;;;;PMS;
PMS.TM160.050;Crimp Wire Basket 1/2 255x245x50 mm;;-;;;;PMS;
PMS.TM160.070;Crimp Wire Basket 1/2 255x245x70 mm;;-;;;;PMS;
PMS.TM160.100;Crimp Wire Basket 1/2 255x245x100 mm;;-;;;;PMS;
PMS.TM161.030;Lid For Baskets 240x215 mm;;-;;;;PMS;
PMS.TM420.010A;Basket Tablett 240x240x32 mm;;-;;;;PMS;
PMS.TM420.020A;Basket Tablett 425x240x32 mm;;-;;;;PMS;
PMS.TP0520;Steripack TYVEK Pouch 5cm x 20cm (1000s);Non Elektromedik;AKL 20903714129;12/02/21;v;Consumable;PMS;
PMS.TP1028;Steripack TYVEK Pouch 10x28 1000s;;AKL 20903714129;12/02/21;;Consumable;PMS;
PMS.TP1530;Steripack TYVEK Pouch 15x30 1000s;;AKL 20903714129;12/02/21;;Consumable;PMS;
PMS.TP2040;Steripack TYVEK Pouch 20x40 1000s;;AKL 20903714129;12/02/21;;Consumable;PMS;
PMS.TP2545;Steripack TYVEK Pouch 25x45 750s;;AKL 20903714129;12/02/21;;Consumable;PMS;
PMS.TP7520;Steripack TYVEK Pouch 7,5cm x 20cm (1000s);Non Elektromedik;AKL 20903714129;12/02/21;v;Consumable;PMS;
PMS.TY0570;PMS TYVEK Roll (Flat) 5cm x 70m;;AKL 20903714182;22/08/21;;Consumable;PMS;
PMS.TY1070;Steripack TYVEK Roll (Flat) 10cm x 70m;Non Elektromedik;AKL 20903714182;22/08/21;v;Consumable;PMS;
PMS.TY1570;Steripack TYVEK Roll (Flat) 15cm x 70m;Non Elektromedik;AKL 20903714182;22/08/21;v;Consumable;PMS;
PMS.TY2070;Steripack TYVEK Roll (Flat) 20cm x 70m;Non Elektromedik;AKL 20903714182;22/08/21;v;Consumable;PMS;
PMS.TY2570;Steripack TYVEK Roll (Flat) 25cm x 70m;;AKL 20903714182;22/08/21;;Consumable;PMS;
PMS.TY3070;Steripack TYVEK Roll (Flat) 30cm x 70m;;AKL 20903714182;22/08/21;;Consumable;PMS;
PMS.TY3570;Steripack TYVEK Roll (Flat) 35cm x 70m;;AKL 20903714182;22/08/21;;Consumable;PMS;
PMS.TY4070;Steripack TYVEK Roll (Flat) 40cm x 70m;;AKL 20903714182;22/08/21;;Consumable;PMS;
PMS.TY5070;Steripack TYVEK Roll (Flat) 50cm x 70m;Non Elektromedik;AKL 20903714182;22/08/21;v;Consumable;PMS;
PMS.TY7570;Steripack TYVEK Roll (Flat) 7.5cm x 70m;Non Elektromedik;AKL 20903714182;22/08/21;v;Consumable;PMS;
PMS.WP100100;Steripack Crepe Wrap Paper 100x100 250s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PMS.WP120120;Steripack Crepe Wrap Paper 120x120 100s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PMS.WP3030;Steripack Crepe Wrap Paper 30x30 2000s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PMS.WP4040;Steripack Crepe Wrap Paper 40x40 1500s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PMS.WP4545;Steripack Crepe Wrap Paper 45x45 1000s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PMS.WP5050;Steripack Crepe Wrap Paper 50x50 1000s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PMS.WP6060;Steripack Crepe Wrap Paper 60x60 500s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PMS.WP7575;Steripack Crepe Wrap Paper 75x75 250s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PMS.WP9090;Steripack Crepe Wrap Paper 90x90 250s;;AKL 20903020014;22/08/21;;Consumable;PMS;
PRO.RAK.V-NEX;PRO.RAK.V-NEX;;-;;;;PRO;
PRO.RAK.V-SCP;PRO.RAK.V-SCP;;-;;;;PRO;
PTS.0739;PTS Pippette 40µl (16s)                        ;;-;;;;PTS;
PTS.0771;CardioChek Printer;;AKL 20101604956;26/02/23;;Unit;PTS;
PTS.0772;Assy,Bag. Printer Cable;;-;;;;PTS;
PTS.1701;Unistik Safety Lancet 21G (100's);;-;;;;PTS;
PTS.1705;CardioChek PA + Link;;AKL 20101604956;26/02/23;;;PTS;
PTS.1708;CardioChek PA Analyzer (single and panel tests);Diagnostik In Vitro;AKL 20101604956;26/02/23;v;Unit;PTS;
PTS.1709;CardioChek Analyzer (single tests only);Diagnostik In Vitro;AKL 20101604957;26/02/23;v;Unit;PTS;AKL Tidak Diperpanjang
PTS.1710;Lipid Panel (Total Chol. HDL, Trig., calc. LDL) 15s;Diagnostik In Vitro;AKL 20101810192;26/02/23;v;Consumable;PTS;
PTS.1711;Total Chol 25s;Diagnostik In Vitro;AKL 20101024613;26/02/23;v;Consumable;PTS;
PTS.1713;Glucose 25s;Diagnostik In Vitro;AKL 20101604954;26/02/23;v;Consumable;PTS;
PTS.1714;HDL Chol 25s;Diagnostik In Vitro;AKL 20101024694;26/02/23;v;Consumable;PTS;AKL Tidak Diperpanjang
PTS.1716;Triglycerides 25s;Diagnostik In Vitro;AKL 20101024695;26/02/23;v;Consumable;PTS;
PTS.1757;PTS CardioChek PA (NSP);;-;;;Unit;PTS;
PTS.1765;Total Chol + Glucose Panel 25s;Diagnostik In Vitro;AKL 20101604953;;v;Consumable;PTS;
PTS.1777;PTS Pippette 30uL (25s);;-;;;;PTS;
PTS.1821;Total Chol + HDL Panel 25s;Diagnostik In Vitro;AKL 20101024828;26/02/23;v;Consumable;PTS;AKL Tidak Diperpanjang
PTS.2134;50µl Capillary Tubes 25s;;-;;;;PTS;
PTS.2150;PTS CardioChek PA Printer;;-;;;Unit;PTS;
PTS.2151;Printer Labels - Seiko 160s;;AKL 20101604956;26/02/23;;;PTS;
PTS.2158;Printer Cable - Seiko;;AKL 20101604956;26/02/23;;Aksesoris;PTS;
PTS.2159;Power Supply - Seiko - Universal;;AKL 20101604956;26/02/23;;;PTS;
PTS.2161;PTS CardioChek PA + Printer;;-;;;Unit;PTS;
PTS.2165;PTS CardioChek PA + Printer + Link;;-;;;Unit;PTS;
PTS.2175;Cardiochek HRA (Soft only);;AKL 20101604956;26/02/23;;;PTS;
PTS.2176;Cardiochek HRA;;AKL 20101604956;26/02/23;;Unit;PTS;
PTS.2400;PTS Metabolic Chemistry Panel Test Strip 15CT;;-;;;Consumable;PTS;
PTS.2412;Total Chol + HDL + Glucose Panel 15s;Diagnostik In Vitro;AKL 20101800854;26/02/23;v;Consumable;PTS;
PTS.2700;Cardiochek PLUS Analyzer;;AKL 20101610518;;;Unit;PTS;
PTS.2729;Smart Bundle Strip (1LP + 1e-Glu);;-;;;;PTS;
PTS.2747;PTS Connect Adapter;;AKL 20101604956;26/02/23;;;PTS;
PTS.2750;Seiko 650SE New (Serial & USB connectivity);;AKL 20101604956;26/02/23;v;Unit;PTS;
PTS.2758;PTS CardioChek Printer Cable ( NEW );;-;;;Aksesoris;PTS;
PTS.2863;15_l Capillary Tubes 25s;Diagnostik In Vitro;AKL 20206814272;26/02/23;v;Consumable;PTS;
PTS.2864;20_l Capillary Tubes 25s;;AKL 20101604953;;;;PTS;Tidak ada AKL / SUKET
PTS.2865;30_l Capillary Tubes 25s;Diagnostik In Vitro;AKL 20206814272;26/02/23;v;Consumable;PTS;
PTS.2866;40µl Capillary Tubes 16s;Diagnostik In Vitro;AKL 20206814272;26/02/23;v;Consumable;PTS;
PTS.3021;A1CNow+ System 20's;Diagnostik In Vitro;AKL 20207412157;26/02/23;v;Unit;PTS;
PTS.3024;A1CNow+ System 10's;Diagnostik In Vitro;AKL 20207412157;26/02/23;v;Unit;PTS;
PTS.3060;PTS Detect Cotinine System 40s;;-;;;;PTS;
PTS.4715;PTS Connect Blu-Dock;;AKL 20101604956;26/02/23;;;PTS;
PTS.4718;PTS Connect Blu-Adapter, Assy;;AKL 20101604956;26/02/23;;;PTS;
PTS.5655;PTS Pippette 15µl (25s);;-;;;Consumable;PTS;
PTS.721;Multi-Chemistry Controls (Glu, Tot Chol, Trig, Ket): High/Low;;-;;;;PTS;
PTS.722;HDL Cholesterol Controls (High/Low);;-;;;;PTS;
PTS.796;Cardiochek Link Cable (Serial to USB);;AKL 20101604956;26/02/23;;;PTS;
PTS.860;ChekMate - Static Controls;;AKL 20101604957;26/02/23;;;PTS;
PTS.995;CardioChek Link (data management interface supp on win 7 & Vista);;AKL 20101604956;26/02/23;;;PTS;
RYL.11650006;Shoulder, Abduction Device . M;;-;;;Unit;RYL;
RYL.14513112;OA Knee Brace, Wrap XS/S - Left Medial/Right Lateral;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14513134;OA Knee Brace, Wrap M/L - Left Medial/Right Lateral;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14513156;OA Knee Brace, Wrap XL/2XL - Left Medial/Right Lateral;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14513212;OA Knee Brace, Wrap XS/S - Right Medial/Left Lateral;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14513234;OA Knee Brace, Wrap M/L - Right Medial/Left Lateral;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14513256;OA Knee Brace, Wrap XL/2XL - Right Medial/Left Lateral;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14514100;OA Knee Brace, Single Upright, Standard - Left Varus/Valgus, Standard;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14514200;OA Knee Brace, Single Upright, Standard - Right Varus/Valgus, Standard;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14514300;OA Knee Brace, Single Upright, Tall - Left Varus/Valgus, Tall;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14514400;OA Knee Brace, Single Upright, Tall - Right Varus/Valgus, Tall;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515105;OA Knee Brace, Double Upright - LT, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515106;OA Knee Brace, Double Upright - LT, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515107;OA Knee Brace, Double Upright - LT, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515108;OA Knee Brace, Double Upright - LT, XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515109;OA Knee Brace, Double Upright - LT, XXL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515205;OA Knee Brace, Double Upright - RT, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515206;OA Knee Brace, Double Upright - RT, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515207;OA Knee Brace, Double Upright - RT, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515208;OA Knee Brace, Double Upright - RT, XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14515209;OA Knee Brace, Double Upright - RT, XXL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533105;ACL Knee Brace (Low Contact) - LT, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533106;ACL Knee Brace (Low Contact) - LT, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533107;ACL Knee Brace (Low Contact) - LT, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533108;ACL Knee Brace (Low Contact) - LT, XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533109;ACL Knee Brace (Low Contact) - LT, XXL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533205;ACL Knee Brace (Low Contact) - RT, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533206;ACL Knee Brace (Low Contact) - RT, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533207;ACL Knee Brace (Low Contact) - RT, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533208;ACL Knee Brace (Low Contact) - RT, XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14533209;ACL Knee Brace (Low Contact) - RT, XXL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534105;ACL Knee Brace (Contact/Full Frame) - LT, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534106;ACL Knee Brace (Contact/Full Frame) - LT, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534107;ACL Knee Brace (Contact/Full Frame) - LT, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534108;ACL Knee Brace (Contact/Full Frame) - LT, XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534109;ACL Knee Brace (Contact/Full Frame) - LT, XXL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534205;ACL Knee Brace (Contact/Full Frame) - RT, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534206;ACL Knee Brace (Contact/Full Frame) - RT, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534207;ACL Knee Brace (Contact/Full Frame) - RT, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534208;ACL Knee Brace (Contact/Full Frame) - RT, XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.14534209;ACL Knee Brace (Contact/Full Frame) - RT, XXL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500041;Walker, Full Shell 2 - Standard, X-Small;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500042;Walker, Full Shell 2 - Standard, Small;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500043;Walker, Full Shell 2 - Standard, Medium;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500044;Walker, Full Shell 2 - Standard, Large;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500045;Walker, Full Shell 2 - Standard, X-Large;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500046;Walker, Full Shell 2 - Short, X-Small;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500047;Walker, Full Shell 2 - Short, Small;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500048;Walker, Full Shell 2 - Short, Medium;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500049;Walker, Full Shell 2 - Short, Large;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.15500050;Walker, Full Shell 2 - Short, X-Large;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.159-01;Back Brace, Warrior Spine - Universal, Regular;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.159-02;Back Brace, Warrior Spine - Universal, High Back;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.159-03;Back Brace, Warrior Spine - Universal, High Back with Side Pads;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.8004-06;"Arm Sling Canvas with Shoulder pad ( Blue ) 9.5"" x 22"". XL";;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.9115-03;"Finger Splints Aluminium foam 3/4"" x 18""";;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.KB9000-01;Warrior® Recovery Post-Operative Knee Brace - Universal (telescoping lengths 18 - 29 In. / 46 - 74 cm);;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.M3055-B;Foot Slippers thread 2 sides Green, Bariatric - XXL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.NE7722-72;Knee Support, Deluxe - Hinged, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.NE7722-73;Knee Support, Deluxe - Hinged, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.NE7722-74;Knee Support, Deluxe - Hinged, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.NE7722-75;Knee Support, Deluxe - Hinged, XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.NE7722-76;Knee Support, Deluxe - Hinged, XXL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.NE7722-77;Knee Support, Deluxe - Hinged, 3X;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3333-R;Back Support, O.S.O. - Regular, Small;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3333-S;Back Support, O.S.O. - Short, Small;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3333-T;Back Support, O.S.O. - Tall, Small;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3433-R;Back Support, O.S.O. - Regular, Medium;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3433-S;Back Support, O.S.O. - Short, Medium;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3433-T;Back Support, O.S.O. - Medium, Tall;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3533-R;Back Support, O.S.O. - Regular, Large;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3533-S;Back Support, O.S.O. - Short, Large;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.OPB3533-T;Back Support, O.S.O. - Large, Tall;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2333-15;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 15 Degrees, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2333-25;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 25 Degrees, S;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2433-15;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 15 Degrees, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2433-25;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 25 Degrees, M;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2533-15;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 15 Degrees, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2533-25;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 25 Degrees, L;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2633-15;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 15 Degrees,XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2633-25;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 25 Degrees,XL;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2733-15;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 15 Degrees,2X;;-;;;Unit;RYL;Tidak ada AKL / SUKET
RYL.UPLT2733-25;Back Support, Ultralign + TLSO - Tapered, Lo Pro, 25 Degrees,2X;;-;;;Unit;RYL;Tidak ada AKL / SUKET
SCL.21;Medilance Lancet (21) 10x20;;-;;;Consumable;SCL;
SCL.26;Medilance Lancet (26) 10x20;;-;;;Consumable;SCL;
SCL.28;Medilance Lancet (28) 10X20;;-;;;Consumable;SCL;
SCL.LD50;Medilance Lancing Device 50s;;-;;;;SCL;
SCL.LDT50;MEDT Lancing Device;;AKL 11603713480;10/01/22;;;SCL;
SDP.ALK;Alkohol Swab ( 1x100 );;-;;;;SDP;
SDP.BAT.CR2032;Batere CR2032 Internal Benecheck;;-;;;;SDP;
SNC.ATB25;Rapid Test Covid-19 SINOCARE 25s;;-;;;;SNC;
SOY.VTM100;LONGSEE VTM Box 100's;;-;;;;SOY;
STF.7046;Medlance Special Blade/0.8mm (Yellow);Non Elektromedik;AKL 11603110096;;v;Consumable;STF;
STF.7542;Medlance Plus Lite 25G/1.5mm 200s;;-;;;;STF;
STF.7543;Medlance Plus Universal 21G/1.8mm 200s ;;-;;;;STF;
STF.7544;Medlance Plus Extra 21G/2.4mm 200s;;-;;;;STF;
STF.7545;Medlance Plus Special 0.8(Blade)/2.0mm 200s;;-;;;;STF;
STF.7546;Medisafe Solo 23G/2.0mm 200s;;-;;;;STF;
STF.7547;Medisafe Solo Comfort Max 29G/1.5mm 200s;;-;;;;STF;
STL.MJVENT;Meja Ventilator Ventmed (Portable);;-;;;;STL;
THU.2002D.L;Veno Elegance, Arm, CCL2, Sleeve with Silicone Anti-slip, short, 1-3, beige , Size L;;-;;;;THU;
THU.2002D.M;Veno Elegance, Arm, CCL2, Sleeve with Silicone Anti-slip, short, 1-3, beige , Size M;;-;;;Unit;THU;
THU.2002D.S;Veno Elegance, Arm, CCL2, Sleeve with Silicone Anti-slip, short, 1-3, beige , Size S;;-;;;Unit;THU;
THU.9201.3;Serena Triangular Size 3;;-;;;Unit;THU;
THU.9201.7;Serena Triangular Size 7;;-;;;Unit;THU;
THU.9201.8;Serena Triangular Size 8;;-;;;Unit;THU;
THU.9201.9;Serena Triangular Size 9;;-;;;Unit;THU;
THU.9202.10;Serena Triangular Lite - Triangular shape, symetric, light Size 10;;-;;;Unit;THU;
THU.9202.3;Serena Triangular Lite - Triangular shape, symetric, light Size 3;;-;;;Unit;THU;
THU.9202.4;Serena Triangular Lite - Triangular shape, symetric, light Size 4;;-;;;Unit;THU;
THU.9202.5;Serena Triangular Lite - Triangular shape, symetric, light Size 5;;-;;;Unit;THU;
THU.9202.6;Serena Triangular Lite - Triangular shape, symetric, light Size 6;;-;;;Unit;THU;
THU.9202.7;Serena Triangular Lite - Triangular shape, symetric, light Size 7;;-;;;Unit;THU;
THU.9202.8;Serena Triangular Lite - Triangular shape, symetric, light Size 8;;-;;;Unit;THU;
THU.9202.9;Serena Triangular Lite - Triangular shape, symetric, light Size 9;;-;;;Unit;THU;
THU.T571551.80BK;Galant front fastening, short-line bra, two-section cup with 1 pocket provided,  Size 80 Cup B , Black;;FR.03.02/VA/01211/2022;31/01/24;;Unit;THU;
THU.T571551.90BG;Galant front fastening, short-line bra, two-section cup with 1 pocket provided, Size 90 Cup B , Biege;;FR.03.02/VA/01211/2022;31/01/24;;Unit;THU;
THU.T572551.70AG;Silima DIANA Size 70 Cup A , Beige;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.75AG;Silima DIANA Size 75 Cup A , Beige;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.75AK;Silima DIANA Size 75 Cup A , Black;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.80AG;Silima DIANA Size 80 Cup A , Beige;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.80AK;Silima DIANA Size 80 Cup A , Black;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.85BG;Silima DIANA Size 85 Cup B , Beige;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.85BK;Silima DIANA Size 85 Cup B , Black;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.90BG;Silima DIANA Size 90 Cup B , Beige;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.90BK;Silima DIANA Size 90 Cup B , Black;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T572551.95BG;Silima DIANA Size 95 Cup B , Beige;Non - Alkes;FR.03.02/VA/01211/2022;31/01/24;v;Unit;THU;
THU.T573701.85BK;Kylie sportive Bra*, A - D Cup 070 - 095 black Size 85 Cup B;;FR.03.02/VA/01211/2022;31/01/24;;Unit;THU;
THU.T573701.95BK;Kylie sportive Bra*, A - D Cup 070 - 095 black Size 95 Cup B;;FR.03.02/VA/01211/2022;31/01/24;;Unit;THU;
